1--------frb30-15-mis/frb30-15-1.mis
32,10,3,86887241,24,10,3,109890473,
31,10,4,92525745,19,10,4,140639923,
29,10,5,179580990,19,10,5,191517244,
29,10,6,178424874,19,10,6,140261635,
29,10,7,177845287,19,10,7,142316775,
29,10,8,172112915,19,10,8,137257500,
29,10,9,207064461,19,10,9,136019968,
29,10,10,178838251,19,10,10,137311071,
61,20,1,56508408,59,20,1,54035474,
61,20,2,58818497,36,20,2,60382653,
45,20,3,93157199,34,20,3,1076299661,
34,20,4,472008652,18,20,4,3759929163,
35,20,5,27372699853,18,20,5,3940554816,
25,20,6,82975184900,18,20,6,4209130344,
25,20,7,83131240874,18,20,7,6289314769,
25,20,8,86535249308,18,20,8,4099780650,
25,20,9,83415299778,18,20,9,5052556737,
25,20,10,83738762086,18,20,10,5155549385,
25,20,11,95624590637,18,20,11,3745199356,
25,20,12,94420885432,18,20,12,3920688945,
25,20,13,92783040909,18,20,13,4331296217,
25,20,14,93259368480,18,20,14,4030305139,
25,20,15,92483306688,18,20,15,3651679707,
25,20,16,95000670259,18,20,16,3668949853,
25,20,17,92352124299,18,20,17,3655163427,
25,20,18,91153727822,18,20,18,3741147642,
25,20,19,95188089739,18,20,19,3699810996,
25,20,20,95456584959,18,20,20,3647582479,
1--------frb35-17-mis/frb35-17-4.mis
23,5,1,67032682,34,5,1,118648983,
16,5,2,78146118,33,5,2,159450200,
16,5,3,78260857,32,5,3,149843131,
16,5,4,79518356,31,5,4,163733296,
16,5,5,76982712,31,5,5,154039325,
31,10,1,98504825,50,10,1,69242986,
27,10,2,76109595,31,10,2,93322231,
21,10,3,87100830,35,10,3,122682324,
19,10,4,254313921,29,10,4,145040815,
19,10,5,266309844,29,10,5,147014371,
19,10,6,412666041,29,10,6,150718178,
19,10,7,307740279,29,10,7,147958560,
19,10,8,261864800,29,10,8,152764146,
19,10,9,248533246,29,10,9,147444853,
19,10,10,254295410,29,10,10,144992148,
55,20,1,46539811,60,20,1,65151483,
43,20,2,63548212,55,20,2,72179253,
28,20,3,180568537,45,20,3,102106386,
18,20,4,6545282420,45,20,4,562020154,
18,20,5,7785347758,27,20,5,75898054151,
18,20,6,5710747798,27,20,6,75306115863,
18,20,7,5520527088,27,20,7,75738459209,
18,20,8,6791588434,27,20,8,74402388182,
18,20,9,5805774353,27,20,9,76483308001,
