------------------C125
------------------1
10:,2,10,10, 82005549
------------------4
1:,3,1,1, 141496033
1:,3,2,1, 143250189
2:,3,2,2, 163081915
1:,2,3,1, 90854668
2:,2,3,2, 90640127
3:,2,3,3, 94983477
1:,2,4,1, 95913520
2:,2,4,2, 92413353
3:,2,4,3, 93642467
4:,2,4,4, 94027569
1:,2,5,1, 75215165
2:,2,5,2, 72214535
3:,2,5,3, 71193281
4:,2,5,4, 69022662
5:,2,5,5, 70589968
1:,2,10,1, 80718838
2:,2,10,2, 81251951
3:,2,10,3, 85923390
4:,2,10,4, 79271250
5:,2,10,5, 79717051
6:,2,10,6, 79272454
7:,2,10,7, 80340632
8:,2,10,8, 80631176
9:,2,10,9, 80289007
10:,2,10,10, 80445576
------------------5
1:,3,1,1, 139428696
1:,3,2,1, 125382070
2:,3,2,2, 126764212
1:,2,3,1, 65995272
2:,2,3,2, 65018928
3:,2,3,3, 66633415
1:,2,4,1, 68722765
2:,2,4,2, 72930176
3:,2,4,3, 68814040
4:,2,4,4, 69014989
1:,2,5,1, 70217300
2:,2,5,2, 71318827
3:,2,5,3, 71185033
4:,2,5,4, 71174101
5:,2,5,5, 70898041
1:,2,10,1, 82244660
2:,2,10,2, 79276124
3:,2,10,3, 79664664
4:,2,10,4, 78979031
5:,2,10,5, 80099722
6:,2,10,6, 80040660
7:,2,10,7, 78297553
8:,2,10,8, 88964025
9:,2,10,9, 79411901
10:,2,10,10, 79964858
------------------6
1:,3,1,1, 136036991
1:,3,2,1, 124045026
2:,3,2,2, 132267069
1:,2,3,1, 67729041
2:,2,3,2, 66045797
3:,2,3,3, 66760978
1:,2,4,1, 66998293
2:,2,4,2, 68909147
3:,2,4,3, 69001153
4:,2,4,4, 69899531
1:,2,5,1, 69821262
2:,2,5,2, 69065374
3:,2,5,3, 69937901
4:,2,5,4, 70419125
5:,2,5,5, 70305264
1:,2,10,1, 81158272
2:,2,10,2, 88083058
3:,2,10,3, 96228296
4:,2,10,4, 88156653
5:,2,10,5, 86306232
6:,2,10,6, 94883540
7:,2,10,7, 85164208
8:,2,10,8, 80030732
9:,2,10,9, 80776098
10:,2,10,10, 87004787
------------------7
1:,3,1,1, 146790796
1:,3,2,1, 127622258
2:,3,2,2, 124419930
1:,2,3,1, 67304403
2:,2,3,2, 68140211
3:,2,3,3, 68688015
1:,2,4,1, 68629811
2:,2,4,2, 68496322
3:,2,4,3, 67936783
4:,2,4,4, 68935364
1:,2,5,1, 70427637
2:,2,5,2, 71188643
3:,2,5,3, 71562455
4:,2,5,4, 71460871
5:,2,5,5, 69994764
1:,2,10,1, 79495119
2:,2,10,2, 79005007
3:,2,10,3, 79996235
4:,2,10,4, 79467158
5:,2,10,5, 85589478
6:,2,10,6, 81718621
7:,2,10,7, 82891964
8:,2,10,8, 80752662
9:,2,10,9, 81568849
10:,2,10,10, 79996171
------------------8
1:,3,1,1, 138845615
